APA Tenant,HasPay,Segment,Industry,Sub Industry,ERP,Medius Territory,Sum of Employees,Capture License Type,Sum of APA License utilization,AP Automation,Sum of ACV (USD),Sum of Number of Locations,ActivatedModules,ActiveSubsidiaries,ActiveUsers,AvgCommentsPerDocument,AvgCompletedTasksPerWeek,AvgInvoicesPerMonth,AvgLinesPerInvoice,AvgOverdueDays,DistinctLanguages,AvgTimeToCompleteTask,TotalArchivedInvoices,OverdueInvoiceCount,MinInvoiceDate,RootCompanyCreatedTimestamp,Account Description
abfoods,0,Enterprise,Holding Companies,'-,MS Dynamics 365 for Fi&Op; SAP,Medius UK,133000.0,Medius Capture,9.0,True,180124.72,2.0,10,6,199,1.75059952,3270.071428,1581.75,2.079309799,22.331147,1,2.840285,4307,610,12/11/2024 9:56,4/15/2024 16:32,"Associated British Foods is a food, ingredients and retail holding group. The company has operations across Europe, Southern Africa, the Americas, Asia, and Australia. Headquartered in London, UK, Associated British Foods specializes in the grocery, suga"
abro,0,Mid-Market,Construction,Commercial & Residential Construction,Infor M3,Medius Sweden,428.0,Medius Capture,88.0,True,27039.15,2.0,6,2,90,1.148711944,2454.703703,1041.692307,1.486542751,10.437768,2,0.753836,13243,699,2/7/2023 8:20,2/11/2022 10:33,"Ab Åbro Bryggeri manufactures malt beverages. It offers beer, soda and water, wine, gas, and coffee. The company was founded in 1856 and is headquartered in Vimmerby, Sweden."
acc,0,Mid-Market,Other,Non-Profit & Charitable Organizations,MS Dynamics NAV,Medius North America,764.0,Medius Capture,82.0,True,32000.04,9.0,7,2,217,1.835428237,1573.129629,650.307692,1.0,14.499111,3,1.787443,8174,2815,6/30/2015 1:15,11/12/2014 6:44,acc
accedo,0,Mid-Market,Professional Services,Custom Software & IT Services,MS Dynamics 365 Business Central,Medius Sweden,600.0,RSO Bulk,25.0,True,14401.8,6.0,10,8,113,1.984949833,575.74074,198.615384,1.000395257,16.939693,2,1.385075,2528,1111,5/18/2019 17:00,11/16/2018 15:49,Accedo helps the world's leading video service providers deliver and grow engaging video experiences. We have developed a deep understanding of the video service ecosystem that helps us deliver scalable solutions for customers of all shapes and sizes
aconordic,0,Mid-Market,Manufacturing - Non-Durables,Building Materials,MS Dynamics 365 Business Central,Medius Sweden,398.0,Medius Capture,58.0,True,14887.58,4.0,8,2,13,1.126829268,942.907407,565.76923,2.625464556,9.261538,2,0.860912,5849,65,10/28/2020 10:40,11/13/2019 6:31,"ACO Nordic Group provides comprehensive system solutions, installation support, and drainage maintenance support. It offers safe and efficient solutions for the management of stormwater, wastewater and wastewater. The company was founded in 1946 and is b"
actic,0,Mid-Market,Travel & Tourism,Fitness & Dance Facilities,MS Dynamics 365 Business Central,Medius Sweden,198.0,Medius Capture,70.0,True,30475.12,1.0,6,10,85,2.348421927,2826.814814,1110.307692,1.348584641,22.497155,4,1.574875,13931,1758,5/4/2022 7:05,12/1/2021 17:21,"Actic Group AB is a company that operates in the Health, Wellness and Fitness industry. It employs 101-250 people and has $25M-$50M of revenue. The company is headquartered in Solna, Stockholm, Sweden."
addlife,0,Mid-Market,Pharmaceuticals,"Vitamins, Supplements & Health Stores",MS Dynamics AX,Medius Sweden,2289.0,Medius Capture,80.0,True,16822.89,2.0,8,6,97,1.414698163,2098.74074,958.384615,3.187379266,15.776699,3,0.637069,12091,206,1/18/2018 8:36,9/11/2017 12:17,"AddLife AB is a Sweden-based company, which is primarily involved in the healthcare industry. The Company markets and sells instruments, equipment, consumables and related services mainly to the healthcare sector. The Company operates through two segment"
addvision,0,Mid-Market,Hospitals / Health Care,Medical Specialists,MS Dynamics 365 Business Central; MS Dynamics NAV,Medius Benelux,119.0,Medius Capture,70.0,True,29561.16,1.0,7,5,127,1.393564356,1190.703703,593.0,3.136722408,25.968812,3,1.48693,7044,1507,5/30/2022 13:35,1/24/2022 12:06,"Vision Ophthalmology Group is Europe's leading independent provider of high-quality ophthalmic products and services. The company specialises in the provision of intraocular lenses, surgical kits, consumables and equipment and its broad product and s"
admiralbeverage,0,Mid-Market,Manufacturing - Non-Durables,Food & Beverage,Oracle JD Edwards,Medius North America,2000.0,Medius Capture,38.0,True,165006.0,7.0,10,14,193,2.349603175,3802.625,1555.75,1.274671852,27.525724,1,2.43206,5228,2138,12/2/2024 14:34,5/8/2024 13:19,"Admiral Beverage, headquartered in Worland, Wyoming, is a company that distributes and produces carbonated soft drinks and offers fountain mixes, bottles, cans, and bottled water."
advantagesmollan,0,Mid-Market,Professional Services,'-,MS Dynamics; MS Dynamics AX,Medius UK,30.0,Medius Capture,77.0,True,63271.76,1.0,8,7,160,1.453904874,1940.814814,667.538461,1.123822179,55.020276,1,1.168468,7622,1085,6/21/2022 10:21,8/10/2021 19:39,"At Advantage Smollan, they create and deliver intelligent commerce solutions to help their clients sell and market better. They are a global provider of outsourced sales and marketing solutions for retailers and consumer goods companies. Advantage Smolla"
advprecast,0,Mid-Market,Manufacturing - Non-Durables,Building Materials,Epicor,Medius Australia,335.0,Medius Capture,82.0,True,12997.62,3.0,6,6,42,2.055666004,2303.074074,1031.076923,1.013300083,14.643835,1,1.287319,12368,2482,5/20/2021 23:16,12/22/2020 8:09,Advanced Precast was established in Melbourne in 1982 and since those early years the company has grown to become one of Australia's market leaders in the field of precast concrete within the building sector. In 1999 Advanced Precast expanded its bas
afry,0,Enterprise,Professional Services,"Architecture, Engineering & Design",Maconomy,Medius Sweden,18532.0,Medius Capture,64.0,True,95936.4,2.0,9,59,9081,1.590747331,9789.711538,3814.153846,1.000971306,15.754123,11,1.989953,42889,14613,3/19/2024 8:39,4/17/2023 10:48,"AFRY is an international engineering, design and advisory company. Their expertise is within the fields of infrastructure, industry, energy, and digitization, operating across the world to create sustainable solutions for future generations. The company"
agi,1,Mid-Market,Manufacturing - Non-Durables,Food & Beverage,MS Dynamics 365 for Fi&Op,Medius North America,71.0,Medius Capture,57.0,True,60519.6,2.0,11,2,26,1.555211066,1084.944444,475.307692,1.31537133,25.845112,1,1.088874,5443,1995,4/24/2023 16:59,12/19/2022 17:59,Touchstone Pistachio Company is a family-owned pistachio growing and processing operation located in California's Central San Joaquin Valley. Learn More.
ags,1,Mid-Market,Travel & Tourism,Gambling & Gaming,MS Dynamics 365 Business Central,Medius North America,883.0,Medius Capture,62.0,True,68001.96,11.0,10,2,224,2.095213719,3358.759259,1507.538461,1.307455683,17.884605,1,1.812491,18671,7912,11/24/2023 17:30,7/28/2023 16:49,"AGS is a global company focused on creating a diverse mix of entertaining gaming experiences for every kind of player. Our roots are firmly planted in the Class II Native American gaming market, but our customer-centric culture and growth have helped us"
ahlens,0,Mid-Market,Retail,"Department Stores, Shopping Centers & Superstores",MS Dynamics 365 for Fi&Op,Medius Sweden,3000.0,ScanCloud,86.0,True,191356.83,2.0,9,5,254,1.486110546,19042.24074,9776.846153,13.21433427,28.544593,3,3.29667,121511,15832,10/5/2020 8:45,9/17/2019 14:32,"hléns, headquartered in Stockholm, Sweden, is a chain of department stores that focuses on business areas of Fashion, Beauty, Homeware, and Media."
ahlsell,0,Enterprise,Retail,Home Improvement & Hardware Retail,IFS,Medius Sweden,5700.0,Medius Capture,89.0,True,1016527.81,1.0,7,9,7119,2.122773196,286584.5185,145880.1538,3.015835772,23.004145,5,1.769501,1867129,112165,11/9/2020 14:10,4/21/2020 7:49,"Founded in 1877, Ahlsell Sverige is a company that distributes industrial supplies and equipment offering installation products, tools, and supplies for installers, contractors, facility managers, and energy industries. Ahlsell Sverige is located in Swed"
akerbiomarineas,0,Mid-Market,Professional Services,Custom Software & IT Services,Jeeves,Medius Norway,415.0,Medius Capture,74.0,True,44361.45,5.0,10,9,439,1.749141331,4113.981481,1611.461538,2.584523868,19.627,2,2.45762,18354,4311,5/29/2018 8:20,3/16/2018 11:41,"Aker BioMarine is a biotech innovator and Antarctic krill-harvesting company, dedicated to improving human and planetary health. The company develops krill-based ingredients for nutraceutical, aquaculture, and animal feed applications. Aker BioMarine was"
akers,1,Mid-Market,Manufacturing - Non-Durables,'-,Infor M3,Medius Sweden,348.0,Medius Capture,82.0,True,68927.92,2.0,11,3,78,2.078657074,1964.796296,679.615384,2.260744986,15.134441,2,1.863853,8444,662,6/25/2020 6:15,5/15/2020 10:11,"Akers National Roll Co is a company that operates in the Mining & Metals industry. It employs 251-500 people and has $25M-$50M of revenue. The company is headquartered in Avonmore, Pennsylvania."
akerstroms,0,Mid-Market,Manufacturing - Non-Durables,Industrial Machinery & Equipment,'-,Medius Sweden,52.0,Medius Capture,82.0,True,6777.88,1.0,7,2,45,1.124137931,677.796296,263.076923,1.945180723,11.13,2,0.983465,3295,200,5/16/2023 6:41,12/29/2022 8:10,"Åkerströms Björbo AB is an international company founded in 1918 that develops, produces, markets, and services high-quality and robust products for remote control of industrial cranes, doors and mobile applications. We have more than 50 years of experie"
alandsbanken,0,Mid-Market,Financial Services,Banking,MS Dynamics 365 Business Central,Medius Sweden,927.0,Medius Capture,81.0,True,48994.47,1.0,8,17,991,1.6127025,4622.111111,2027.615384,1.236196319,12.086979,4,1.36118,21089,3863,9/14/2020 7:15,2/7/2020 7:16,"landsbanken Abp is a company that operates in the Financial Services industry. It employs 501-1,000 people and has $100M-$250M of revenue. The company is headquartered in Finland."
albincomponents,0,Mid-Market,Manufacturing - Non-Durables,Building Materials,Epicor iScala,Medius Sweden,40.0,Medius Capture,72.0,True,7940.95,1.0,8,2,28,1.37406015,977.471698,398.153846,1.673713602,23.708333,2,2.217443,5056,264,11/5/2021 9:07,8/26/2021 16:59,"We work with some of the market's most demanding customers and we deliver our products all over the world. Our customers are mainly in the heavy vehicle industry. Examples include Volvo, Scania, Renault Trucks and Mack Trucks. We also supply to compo"
alcadon,0,Mid-Market,Construction,Commercial & Residential Construction,Visma Business,Medius Sweden,33.0,Medius Capture,71.0,True,3369.11,1.0,9,3,64,1.59916617,2408.203703,1144.384615,2.508976722,14.124781,3,1.475208,14178,1146,12/14/2017 8:15,9/18/2017 7:26,"Alcadon AB is a company that operates in the Telecommunications industry. It employs 21-50 people and has $10M-$25M of revenue. The company is headquartered in Malmoe, Skane, Sweden."
alcority,0,Mid-Market,Professional Services,Custom Software & IT Services,MS Dynamics 365 for Fi&Op,Medius North America,121.0,Medius Capture,24.0,True,269766.24,4.0,8,34,541,2.55855683,3490.185185,1496.5,1.78746988,43.983941,1,1.774371,14260,3674,7/19/2021 23:46,4/8/2021 20:08,"Alcority is a technology-driven, cloud-enabled, shared services platform. We support a private portfolio of fast growing companies across multiple industries. Alcority's mission is to improve the performance and reliability of the critical, non-core"
alcoritymei,0,Mid-Market,Logistics / Transportation,"Trucking, Moving & Storage",MS Dynamics 365 for Fi&Op,Medius North America,771.0,Medius Capture,97.0,True,102748.32,19.0,7,4,113,2.910405159,8784.925925,4129.538461,2.121834255,33.466435,1,2.165439,49023,19008,6/10/2022 20:50,3/17/2022 14:35,"Headquartered in Albany, Oregon, MEI Rigging & Crating, LLC provides rigging and crating services. The Company offers machinery moving, millwrighting, installation, crating, and export packing services."
alcyon,0,Mid-Market,Hospitals / Health Care,Veterinary Services,Iptor IBS Enterprise,Medius France,29.0,Medius Capture,92.0,True,52708.19,3.0,6,5,27,1.40886918,6854.592592,2996.76923,7.328252355,40.727179,2,2.859643,37722,14614,7/4/2023 9:12,8/3/2020 7:08,Alcyon France is a company that operates in the Veterinary Services industry. It employs 20to49 people and has 5Mto10M of revenue. The company is headquartered in France.
aldevron,0,Mid-Market,Professional Services,'-,MS Dynamics 365 for Fi&Op,Medius North America,1000.0,Medius Capture,77.0,True,39942.96,3.0,6,3,264,2.210710665,3802.592592,1783.76923,1.973046892,32.738715,1,2.525771,19377,2304,7/19/2023 14:45,8/15/2022 20:28,"Founded in 1998, Aldevron is a biotechnology privately held company that develops and manufactures plasmid DNA, proteins, enzymes, and antibodies. Aldevron is located in North Dakota."
alfalaval,0,Enterprise,Manufacturing - Non-Durables,Industrial Machinery & Equipment,Magic,Medius Benelux,21441.0,Medius Capture,67.0,True,18235.24,11.0,8,3,109,1.359689922,840.648148,314.0,1.005454996,32.274234,3,1.237387,4020,784,7/11/2016 8:00,2/5/2015 15:45,give 1st demo MF XI with Peter Vos (Magic Hands) on 10/3/2014 to Alfa Laval Closed the deal! 1/4/2014
alfamoving,0,Mid-Market,Logistics / Transportation,'-,Visma.net,Medius Sweden,288.0,Medius Capture,73.0,True,48801.69,2.0,10,9,276,1.79957204,4822.722222,2215.461538,1.621882739,13.681312,5,1.177501,25664,3687,3/21/2018 10:15,2/18/2018 9:15,"Companies: Alfa Quality Moving, Alfa Quality Moving Norge AS, Alfa Quality Moving Danmark AS, Alfa Relocation AB, Alfa Quality Moving Oy och �ttel�ggen Fastighets AB. First customer using the new integration towards the ERP-system Hansa. Henrik Possberg"
alfdex,0,Mid-Market,Construction,"Architecture, Engineering & Design",MS Dynamics AX,Medius Sweden,255.0,Medius Capture,61.0,True,18993.37,1.0,6,2,50,1.314783586,1204.851851,492.076923,1.958571429,16.290254,2,1.882165,5992,472,10/4/2016 6:52,9/23/2016 8:54,Alfdex AB is a Swedish company that develops and produces separators for cleaning of crankcase gases in diesel truck engines. Alfdex is owned by the two public companies Alfa Laval and Concentric who are quoted on the Stockholm Stock Exchange.
alfort,0,Mid-Market,Construction,Commercial & Residential Construction,IFS,Medius Sweden,106.0,Medius Capture,80.0,True,11480.62,1.0,8,2,56,2.073065015,1407.407407,648.538461,3.699417051,7.85307,3,2.080739,7903,912,4/13/2015 10:10,10/28/2014 16:02,"Alfort har en anrik, lng historia sedan 1906. Frn renodlad frgleverantör och fabrikant till att idag driva och utveckla egna varumrken samt tillhandahlla och slja knda och efterfrgade varumrken. Bra produkter för hus, hem och trdgrd. Lt dig inspireras, t"
allego,0,Mid-Market,Manufacturing - Non-Durables,Electronics,MS Dynamics 365 for Fi&Op,Medius Benelux,190.0,Medius Capture,63.0,True,123866.69,3.0,8,27,153,2.763588811,3610.462962,1615.076923,1.059783438,68.605423,4,4.209323,18967,5753,12/10/2018 15:55,8/31/2018 7:28,"Founded in 2013, Allego is a provider of high value-add EV charging services for electric cars, motors, buses and trucks, for consumers, businesses and cities. They are based in Arnhem, Netherlands."
alleima,0,Mid-Market,Manufacturing - Non-Durables,'-,Infor M3,Medius Sweden,355.0,RSO Bulk,85.0,True,119850.94,2.0,13,12,1341,1.693343538,27977.09259,10429.38462,1.571303594,31.046414,6,1.560671,127782,9566,12/4/2023 14:18,4/27/2023 14:05,Kanthal® is a world-leading brand for products and services in the fields of sustainable industrial heating technology and resistance materials. The company is part of the Sandvik Group and has a strong tradition in innovation and extensive investments i
alleimaus,0,Enterprise,Manufacturing - Non-Durables,Industrial Machinery & Equipment,Infor LX,Medius North America,40614.0,Medius Capture,32.0,True,38328.96,15.0,8,6,88,1.681636992,2084.407407,909.923076,1.682694848,44.08483,1,2.828429,9706,2393,2/6/2024 18:30,7/3/2023 15:20,"Sandvik Coromant Company's tools are run of the mill -- that is, they help the mill run. One of the core businesses of Sweden-based engineering group Sandvik, Sandvik Coromant is part of its parent's Sandvik Machining Solutions operations. It man"
allmetal,0,Mid-Market,Minerals & Mining,'-,Sage 300 ERP,Medius Australia,35.0,Medius Capture,97.0,True,19854.67,1.0,6,2,124,1.635970745,4072.851851,2061.846153,2.649881894,4.124637,1,1.079518,24318,345,5/26/2023 5:30,8/1/2022 14:08,"With dedicated tube processing machinery, All Metal Products can punch holes and cut slots in steel tube sections often faster than many CNC machines. This can be used to build complete tube products or to process the tube sections for you to assemble yo"
allsaints,1,Mid-Market,Retail,Apparel & Accessories Retail,Oracle NetSuite,Medius UK,2000.0,Medius Capture,22.0,True,81943.15,8.0,14,15,22,1.0,1614.148148,941.384615,2.450580164,11.265966,1,5.64731,11112,2474,5/15/2023 15:05,3/13/2023 12:30,"AllSaints, founded in 1994 and headquartered in London, United Kingdom, is a fashion retailer that sells menswear, womenswear apparel, footwear, and accessories."
amare,0,Mid-Market,Retail,"Vitamins, Supplements & Health Stores",'-,Medius Sweden,18.0,Medius Capture,53.0,True,1744.21,2.0,7,5,24,1.264604811,460.638297,160.25,1.107124285,4.520681,3,0.431453,1804,411,4/29/2024 8:26,12/19/2023 7:44,"Kyni was founded in Idaho Falls, USA in 2005. Kyni is currently active in over 50 countries worldwide and the first European office opened in Gothenburg in 2011.Kyni produces a small but powerful range of nutritional supplements including Kyni Sunrise™,"
ambaflex,0,Mid-Market,Manufacturing - Non-Durables,Industrial Machinery & Equipment,Epicor 9; Epicor iScala,Medius Benelux,148.0,Medius Capture,67.0,True,75573.93,4.0,6,1,11,,,,,20.443534,2,,0,0,,11/16/2023 8:45,"AmbaFlex, the ""Global Leader in Supply of Specialty Conveyors"" is known as an innovative company in the material-handling field. The spiral conveyors, flexible conveyors or dynamic accumulators fulfil a key role in many packaging, bottling and"
amcscandinavia,0,Enterprise,Manufacturing - Non-Durables,Building Materials,Jeeves,Medius Sweden,154352.0,Medius Capture,49.0,True,27725.17,3.0,7,3,68,1.728531856,2376.629629,968.538461,2.383635198,7.24635,3,0.943097,12215,548,10/2/2023 12:03,3/9/2023 9:20,S.  Looking around for a system that can give them a better overview and increse automation P.  Manual handling of some invoices and needs a better overview of the entire process and a way to handel different VAT
amg,1,Mid-Market,Manufacturing - Non-Durables,Automotive Parts,MS Dynamics 365 for Fi&Op,Medius Denmark,93.0,Medius Capture,67.0,True,30168.94,2.0,10,3,101,1.333333333,2484.166666,520.25,6.118440058,15.325,3,0.546969,957,40,11/27/2024 11:13,8/9/2023 12:16,"BESKO A/S har i flere år væreten af de førende leverandører af reservedele og tilbehør til lastbiler, busser, påhængs- og sættevogne, og vi har landets nok bedste og mest velassorterede lager inden for branchen. I vores afdelinger lagerfører vi stort set"
ampa,0,Mid-Market,Legal Services,'-,Aderant,Medius UK,842.0,Medius Capture,20.0,True,74470.71,2.0,15,4,196,1.962406015,976.102564,364.7,3.654545455,33.756501,1,2.326371,2549,846,6/24/2024 8:20,11/7/2023 13:59,Shakespeare Martineau is a UK based law firm that was formed in June 2015 through the merger of Shakespeares and SGH Martineau. It is headquartered in Birmingham.
amphochem,0,Mid-Market,Manufacturing - Non-Durables,Chemicals & Related Products,Visma Business,Medius Sweden,20.0,RSO Bulk,110.0,True,0.0,1.0,8,6,28,1.277506112,440.907407,176.230769,1.462659381,4.559139,2,1.366985,2100,186,1/8/2021 12:10,10/26/2020 15:58,AmphoChem is a chemicals distributor with representation in the Nordic countries and East Europe with headquarters in Hisings Backa conveniently located just outside Gothenburg. We have sales offices in 7 different countries. We focus on creating and del
ampliorental,1,Mid-Market,Financial Services,'-,'-,Medius Sweden,22.0,'-,121.0,True,2381.4,1.0,17,13,29,1.810204082,527.529411,234.9,1.060996564,24.42285,2,3.432243,1838,849,4/17/2024 12:30,2/1/2024 17:14,Amplio Rental AB is a company that operates in the Real Estate industry. It employs 21-50 people and has $1M-$5M of revenue. The company is headquartered in Sweden.
amr,0,Mid-Market,Travel & Tourism,Sports Teams & Leagues,MS Dynamics 365 for Fi&Op,Medius UK,315.0,Medius Capture,67.0,True,51061.07,1.0,7,2,5,,,,,20.443534,1,,0,0,,6/6/2024 13:10,"AMR GP Ltd is a company that operates in the Consumer Services industry. It employs 251-500 people and has $10M-$25M of revenue. The company is headquartered in Silverstone, Northamptonshire, United Kingdom."
ao,0,Mid-Market,Construction,Commercial & Residential Construction,Infor M3,Medius Denmark,814.0,RSI Perpetual-Bulk,104.0,True,54783.59,2.0,7,2,177,1.376579926,4805.65909,2059.90909,1.002710148,26.351017,2,0.933024,20881,4128,5/14/2024 12:34,3/8/2024 12:03,"Brodrene A & O Johansen A/S is a company that operates in the Construction industry. It employs 501-1,000 people and has $500M-$1B of revenue. The company is headquartered in Albertslund, Capital Region, Denmark."
apak,0,Mid-Market,Professional Services,Commercial Printing,Jeeves,Medius Sweden,83.0,Medius Capture,92.0,True,29469.28,1.0,10,8,122,1.83986504,3442.981481,1513.076923,1.647490883,17.491631,2,0.967259,18482,956,4/26/2018 11:30,12/21/2017 5:57,"Founded in 1917, aPak is a family-owned packaging solution and logistic systems company. They provide various packaging solutions and materials including cardboard, VCI, plastic, shock absorber, and more. APak is headquartered in Vaestra Goetaland, Swede"
apclogistics,0,Mid-Market,Professional Services,Management Consulting,CargoWise,Medius Sweden,103.0,Medius Capture,92.0,True,57157.0,1.0,7,5,83,1.258486011,5040.666666,2652.461538,1.959867897,23.337274,3,1.775312,33052,4990,4/20/2022 9:48,1/25/2022 12:03,"APC, Asia Pacific Cargo, APC Logistics, APC Logistics AB, airfreight, sea freight, ocean freight, flygfrakt, sjöfrakt"
apgandco,0,Mid-Market,Retail,Apparel & Accessories Retail,Apparel21,Medius Australia,1929.0,Medius Capture,48.0,True,10743.98,1.0,6,3,134,1.227670206,1444.444444,579.0,1.112988092,44.226067,1,1.468774,7224,2716,6/25/2019 5:15,2/20/2019 6:36,"At APG&Co our focus is on creating garments that stand up to how our customers live their lives, that's why every piece in our collection is designed in Australia, with the Australian lifestyle in mind. Each season we source the best textiles fro"
apotekstjanst,0,Mid-Market,Manufacturing - Non-Durables,Building Materials,Visma Business,Medius Sweden,73.0,RSO Bulk,41.0,True,1192.34,1.0,7,6,67,1.169761273,1713.037037,957.461538,1.780906649,19.117261,2,2.264515,12303,1680,10/5/2020 8:10,8/21/2020 14:03,"Apotekstjänst Sverige AB is a company that operates in the Logistics and Supply Chain industry. It employs 51-100 people and has $5M-$10M of revenue. The company is headquartered in Lidingoe, Stockholm, Sweden."
applyno,0,Mid-Market,Retail,'-,MS Dynamics AX,Medius Norway,288.0,Medius Capture,72.0,True,26683.89,3.0,8,2,92,1.314535732,2095.222222,907.692307,1.843731331,14.550597,2,2.311933,10785,2510,5/11/2018 8:44,1/16/2018 12:43,"We guarantee quality products and services all the way from initial engineering for new projects to life-extending upgrades, maintenance and modification. Leirvik AS has 300 employees and is headquartered at Stord, Norway. The company is organised with f"
applysv,0,Mid-Market,Construction,"Architecture, Engineering & Design",MS Dynamics AX,Medius Sweden,79.0,Medius Capture,34.0,True,24898.67,1.0,8,2,117,1.746341463,713.666666,287.153846,1.734743694,11.402439,2,1.056664,3439,328,5/14/2018 12:01,1/16/2018 11:55,"Emtunga Solutions is a Swedish company owned by the Norwegian Moreld group. Emtunga is a leading supplier of complex modular Engineering, Procurement and Construction projects (EPC) with over 45 years of experience from the offshore industry and 25 years"
apt,0,Mid-Market,Manufacturing - Non-Durables,Industrial Machinery & Equipment,Epicor iScala,Medius Sweden,334.0,Medius Capture,44.0,True,35336.57,3.0,10,3,101,2.058501914,2101.611111,1023.923076,2.221710576,8.105376,2,1.006493,13106,465,6/4/2018 9:25,5/4/2018 16:28,"AP&T AB is an industrial enterprise active in the sheet metal forming industry. It is the parent company for the AP&T Group. The company develops and manufactures complete production systems, automation equipment, presses, tools and services for"
